MMA, instructional or competition	Starting Position 	Type of technique	Technique name	Video source url	Tags	Fighters doing the technique	Fighter receiving the technique	GIF Link	GIF filename	Needs review? 
MMA	Half guard (bottom)	Sweep	Single leg half guard sweep	https://ok.ru/video/2372274350	underhook, half guard, bottom, sweep, single leg	Dustin Poirier	Chang Sung Jung	https://media.giphy.com/media/iDMdKjnHlAIXxtFJrL/giphy.gif	animation (22).gif	
MMA	Standing	Takedown defense	Sprawl	https://ok.ru/video/2372274350	sprawl, double leg, takedown, defense	Chang Sung Jung	Dustin Poirier	https://media.giphy.com/media/7zlZmTS0mrtR9chEOI/giphy.gif	animation (23).gif	
MMA	Standing	Takedown	Ko soto gari double underhooks outside trip	https://cf-w2.streamablevideo.com/video/mp4/p98h.mp4?token=1518609758-qS8ezek6Dkk1mSajwCcjn%2BjbCcdyDlokRLb2tBe%2FziU%3D	takedown, outside leg trip, double underhooks, ko soto gari,	Karon Parysian	Thiago Alves	https://media.giphy.com/media/t6mheNC9ad7jynZhtM/giphy.gif	animation (24).gif	
MMA	Standing	Submission defense	Guillotine prevention with posture/head position	https://cf-e2.streamablevideo.com/video/mp4/iqvx.mp4?token=1518609891-py%2BRHDhfTsPfav8AAhjZFaEUGpXvov1hMkUSLR7md6c%3D	guillotine, posture, prevention, head up, ear to the ribs	Charles Oliveira	Ricardo Lamas	https://media.giphy.com/media/46hwlqSVScH3bpuPM7/giphy.gif	animation (25).gif	
MMA	Standing	Takedown	Double underhooks side reverse hip throw (ushiro goshi)	https://cf-e2.streamablevideo.com/video/mp4/iqvx.mp4?token=1518609891-py%2BRHDhfTsPfav8AAhjZFaEUGpXvov1hMkUSLR7md6c%3D	takedown, double underhooks, reverse hip throw, ushiro goshi	Charles Oliveira	Ricardo Lamas	https://media.giphy.com/media/cYWZ3X7cmdmC9oqf7M/giphy.gif	animation (26).gif	
MMA	Guard (bottom)	Submission mistake	Guillotine mistake	https://cf-e2.streamablevideo.com/video/mp4/sbzth.mp4?token=1518347786-DB85lPRiKlvlTfXBRuh7BprmBfvLS4dqw14I%2FNUSrQs%3D	mistake, didn't hook the leg, allowed side control,	Jason Mcdonald	Demian Maia	https://media.giphy.com/media/Y0wbGb7Axgh2buPEgN/giphy.gif	animation (32).gif	
MMA	Guard (top)	Submission defense	Guillotine defense	https://cf-e2.streamablevideo.com/video/mp4/sbzth.mp4?token=1518347786-DB85lPRiKlvlTfXBRuh7BprmBfvLS4dqw14I%2FNUSrQs%3D	arm behind the back, tripod, crossface, pass to side control,	Demian Maia	Jason Mcdonald	https://media.giphy.com/media/Y0wbGb7Axgh2buPEgN/giphy.gif	animation (32).gif	
MMA	Side control (top)	Back take	Back take from side control	https://cf-e2.streamablevideo.com/video/mp4/sbzth.mp4?token=1518347786-DB85lPRiKlvlTfXBRuh7BprmBfvLS4dqw14I%2FNUSrQs%3D	transition, side control, north south, back take,  opponent underhooks, switch sides,	Demian Maia	Jason Mcdonald	https://media.giphy.com/media/3sdIpy4rDSEXXw9yCG/giphy.gif	animation (33).gif	
MMA	Standing	Takedown defense	Double leg takedown underhook defense	https://cf-e2.streamablevideo.com/video/mp4/hzhr3.mp4?token=1518348316-TGO6nDKazrEaOAnSL7t91%2BGbqizWZTE9ePRqDeJ8z38%3D	underhook, defense, double leg, takedown,	Demian Maia	Jason Mcdonald	https://media.giphy.com/media/1ykE6vCfozJhO6npKD/giphy.gif	animation (34).gif	
MMA	Half guard (top)	Guard pass	Walk the feet halfguard pass	https://cf-e2.streamablevideo.com/video/mp4/hzhr3.mp4?token=1518348316-TGO6nDKazrEaOAnSL7t91%2BGbqizWZTE9ePRqDeJ8z38%3D	half guard pass, walk the feet, push knee, 3/4 mount, pass to mount, hip switch, face the legs, face away	Demian Maia	Jason Mcdonald	https://media.giphy.com/media/9AIcIJsB91Pi0uiofk/giphy.gif	animation (35).gif	
MMA	Half guard (bottom)	Sweep	old school sweep	https://cf-e2.streamablevideo.com/video/mp4/j08wk.mp4?token=1518348370-NqpT3Bu1q1UiQYLmFfbCZ%2F9wDf2M%2BfxAh6gcG1s5P5s%3D	underhook, half guard, trap the leg, knee torque	Demian Maia	Jason Mcdonald	https://media.giphy.com/media/1gP0QeVhWVbtxlndEU/giphy.gif	animation (36).gif	
MMA	Guard (bottom)	Standing up	Stand up	https://cf-e2.streamablevideo.com/video/mp4/po2pw.mp4?token=1518615368-0ByFai23NcdtBN%2B1K3Mo%2BPk5kaN72%2FYmeOzafRqXjUo%3D	stand up from guard, frame, technical stand up,	George St Pierre	Dan Hardy	https://media.giphy.com/media/pGnHG3Tn4xlym6NMTf/giphy.gif	animation (27).gif	
MMA	Standing	Takedown	Ouchi Gari (inner leg reap) takedown	https://cf-e2.streamablevideo.com/video/mp4/7zhwv.mp4?token=1518616267-Rq9%2F4T0fXc5UlPaljJdcGbNsSE1YRKpwkGkonwz5oFY%3D	inner leg reap, takedown, ouchi gari, overhook on same side,	Charles Oliveira	Will Brooks	https://media.giphy.com/media/9V3jKXN9VKPXFD3gpz/giphy.gif	animation (31).gif	
MMA	Half guard (top)	Guard pass	Knee slice guard pass	https://cf-e2.streamablevideo.com/video/mp4/po2pw.mp4?token=1518615368-0ByFai23NcdtBN%2B1K3Mo%2BPk5kaN72%2FYmeOzafRqXjUo%3D	knee slice, underhook, guard pass, half guard,	George St Pierre	Dan Hardy	https://media.giphy.com/media/3rXyBz3eNNfq7aDPl2/giphy.gif	animation (30).gif	
MMA	North-south (top)	Submission	Kimura from north south	https://cf-e2.streamablevideo.com/video/mp4/xmoza.mp4?token=1518615593-HFdPB9sTF%2B5Wv60suaT7SdbKmcCl2b0erwazlK1VoE8%3D	kimura, north south	Geoge St Pierre	Dan Hardy	https://media.giphy.com/media/nKIWoaSOWDIFN27iQx/giphy.gif	animation (29).gif	
MMA	North-south (bottom)	Submission defense	Elbow to the floor kimura defense	https://cf-e2.streamablevideo.com/video/mp4/xmoza.mp4?token=1518615593-HFdPB9sTF%2B5Wv60suaT7SdbKmcCl2b0erwazlK1VoE8%3D	kimura, north south	Dan Hardy	George St Pierre	https://media.giphy.com/media/37mOfJOYYAT8vCA26N/giphy.gif	animation (28).gif	
